dataset_id,base_seed,lambda,n_samples,n_variables,edge_count,dataset_path,base_spec_path
seed_08_lambda_1p00,8,1.0,1000,10,12,data/datasets/seed_08_lambda_1p00.npz,data/base_specs/seed_08.npz
seed_09_lambda_0p00,9,0.0,1000,10,12,data/datasets/seed_09_lambda_0p00.npz,data/base_specs/seed_09.npz
seed_09_lambda_0p25,9,0.25,1000,10,12,data/datasets/seed_09_lambda_0p25.npz,data/base_specs/seed_09.npz
seed_09_lambda_0p50,9,0.5,1000,10,12,data/datasets/seed_09_lambda_0p50.npz,data/base_specs/seed_09.npz
seed_09_lambda_0p75,9,0.75,1000,10,12,data/datasets/seed_09_lambda_0p75.npz,data/base_specs/seed_09.npz
seed_09_lambda_1p00,9,1.0,1000,10,12,data/datasets/seed_09_lambda_1p00.npz,data/base_specs/seed_09.npz
seed_10_lambda_0p00,10,0.0,1000,10,8,data/datasets/seed_10_lambda_0p00.npz,data/base_specs/seed_10.npz
seed_10_lambda_0p25,10,0.25,1000,10,8,data/datasets/seed_10_lambda_0p25.npz,data/base_specs/seed_10.npz
seed_10_lambda_0p50,10,0.5,1000,10,8,data/datasets/seed_10_lambda_0p50.npz,data/base_specs/seed_10.npz
seed_10_lambda_0p75,10,0.75,1000,10,8,data/datasets/seed_10_lambda_0p75.npz,data/base_specs/seed_10.npz
seed_10_lambda_1p00,10,1.0,1000,10,8,data/datasets/seed_10_lambda_1p00.npz,data/base_specs/seed_10.npz
seed_11_lambda_0p00,11,0.0,1000,10,9,data/datasets/seed_11_lambda_0p00.npz,data/base_specs/seed_11.npz
seed_11_lambda_0p25,11,0.25,1000,10,9,data/datasets/seed_11_lambda_0p25.npz,data/base_specs/seed_11.npz
seed_11_lambda_0p50,11,0.5,1000,10,9,data/datasets/seed_11_lambda_0p50.npz,data/base_specs/seed_11.npz
seed_11_lambda_0p75,11,0.75,1000,10,9,data/datasets/seed_11_lambda_0p75.npz,data/base_specs/seed_11.npz
seed_11_lambda_1p00,11,1.0,1000,10,9,data/datasets/seed_11_lambda_1p00.npz,data/base_specs/seed_11.npz
seed_12_lambda_0p00,12,0.0,1000,10,7,data/datasets/seed_12_lambda_0p00.npz,data/base_specs/seed_12.npz
seed_12_lambda_0p25,12,0.25,1000,10,7,data/datasets/seed_12_lambda_0p25.npz,data/base_specs/seed_12.npz
seed_12_lambda_0p50,12,0.5,1000,10,7,data/datasets/seed_12_lambda_0p50.npz,data/base_specs/seed_12.npz
seed_12_lambda_0p75,12,0.75,1000,10,7,data/datasets/seed_12_lambda_0p75.npz,data/base_specs/seed_12.npz
seed_12_lambda_1p00,12,1.0,1000,10,7,data/datasets/seed_12_lambda_1p00.npz,data/base_specs/seed_12.npz
seed_13_lambda_0p00,13,0.0,1000,10,7,data/datasets/seed_13_lambda_0p00.npz,data/base_specs/seed_13.npz
seed_13_lambda_0p25,13,0.25,1000,10,7,data/datasets/seed_13_lambda_0p25.npz,data/base_specs/seed_13.npz
seed_13_lambda_0p50,13,0.5,1000,10,7,data/datasets/seed_13_lambda_0p50.npz,data/base_specs/seed_13.npz
seed_13_lambda_0p75,13,0.75,1000,10,7,data/datasets/seed_13_lambda_0p75.npz,data/base_specs/seed_13.npz
seed_13_lambda_1p00,13,1.0,1000,10,7,data/datasets/seed_13_lambda_1p00.npz,data/base_specs/seed_13.npz
seed_14_lambda_0p00,14,0.0,1000,10,11,data/datasets/seed_14_lambda_0p00.npz,data/base_specs/seed_14.npz
seed_14_lambda_0p25,14,0.25,1000,10,11,data/datasets/seed_14_lambda_0p25.npz,data/base_specs/seed_14.npz
seed_14_lambda_0p50,14,0.5,1000,10,11,data/datasets/seed_14_lambda_0p50.npz,data/base_specs/seed_14.npz
seed_14_lambda_0p75,14,0.75,1000,10,11,data/datasets/seed_14_lambda_0p75.npz,data/base_specs/seed_14.npz
seed_14_lambda_1p00,14,1.0,1000,10,11,data/datasets/seed_14_lambda_1p00.npz,data/base_specs/seed_14.npz
seed_15_lambda_0p00,15,0.0,1000,10,5,data/datasets/seed_15_lambda_0p00.npz,data/base_specs/seed_15.npz
seed_15_lambda_0p25,15,0.25,1000,10,5,data/datasets/seed_15_lambda_0p25.npz,data/base_specs/seed_15.npz
seed_15_lambda_0p50,15,0.5,1000,10,5,data/datasets/seed_15_lambda_0p50.npz,data/base_specs/seed_15.npz
seed_15_lambda_0p75,15,0.75,1000,10,5,data/datasets/seed_15_lambda_0p75.npz,data/base_specs/seed_15.npz
seed_15_lambda_1p00,15,1.0,1000,10,5,data/datasets/seed_15_lambda_1p00.npz,data/base_specs/seed_15.npz
seed_16_lambda_0p00,16,0.0,1000,10,14,data/datasets/seed_16_lambda_0p00.npz,data/base_specs/seed_16.npz
seed_16_lambda_0p25,16,0.25,1000,10,14,data/datasets/seed_16_lambda_0p25.npz,data/base_specs/seed_16.npz
seed_16_lambda_0p50,16,0.5,1000,10,14,data/datasets/seed_16_lambda_0p50.npz,data/base_specs/seed_16.npz
seed_16_lambda_0p75,16,0.75,1000,10,14,data/datasets/seed_16_lambda_0p75.npz,data/base_specs/seed_16.npz
seed_16_lambda_1p00,16,1.0,1000,10,14,data/datasets/seed_16_lambda_1p00.npz,data/base_specs/seed_16.npz
seed_17_lambda_0p00,17,0.0,1000,10,11,data/datasets/seed_17_lambda_0p00.npz,data/base_specs/seed_17.npz
seed_17_lambda_0p25,17,0.25,1000,10,11,data/datasets/seed_17_lambda_0p25.npz,data/base_specs/seed_17.npz
seed_17_lambda_0p50,17,0.5,1000,10,11,data/datasets/seed_17_lambda_0p50.npz,data/base_specs/seed_17.npz
seed_17_lambda_0p75,17,0.75,1000,10,11,data/datasets/seed_17_lambda_0p75.npz,data/base_specs/seed_17.npz
seed_17_lambda_1p00,17,1.0,1000,10,11,data/datasets/seed_17_lambda_1p00.npz,data/base_specs/seed_17.npz
seed_18_lambda_0p00,18,0.0,1000,10,11,data/datasets/seed_18_lambda_0p00.npz,data/base_specs/seed_18.npz
seed_18_lambda_0p25,18,0.25,1000,10,11,data/datasets/seed_18_lambda_0p25.npz,data/base_specs/seed_18.npz
seed_18_lambda_0p50,18,0.5,1000,10,11,data/datasets/seed_18_lambda_0p50.npz,data/base_specs/seed_18.npz
seed_18_lambda_0p75,18,0.75,1000,10,11,data/datasets/seed_18_lambda_0p75.npz,data/base_specs/seed_18.npz
seed_18_lambda_1p00,18,1.0,1000,10,11,data/datasets/seed_18_lambda_1p00.npz,data/base_specs/seed_18.npz
seed_19_lambda_0p00,19,0.0,1000,10,11,data/datasets/seed_19_lambda_0p00.npz,data/base_specs/seed_19.npz
seed_19_lambda_0p25,19,0.25,1000,10,11,data/datasets/seed_19_lambda_0p25.npz,data/base_specs/seed_19.npz
seed_19_lambda_0p50,19,0.5,1000,10,11,data/datasets/seed_19_lambda_0p50.npz,data/base_specs/seed_19.npz
seed_19_lambda_0p75,19,0.75,1000,10,11,data/datasets/seed_19_lambda_0p75.npz,data/base_specs/seed_19.npz
seed_19_lambda_1p00,19,1.0,1000,10,11,data/datasets/seed_19_lambda_1p00.npz,data/base_specs/seed_19.npz
seed_20_lambda_0p00,20,0.0,1000,10,7,data/datasets/seed_20_lambda_0p00.npz,data/base_specs/seed_20.npz
seed_20_lambda_0p25,20,0.25,1000,10,7,data/datasets/seed_20_lambda_0p25.npz,data/base_specs/seed_20.npz
seed_20_lambda_0p50,20,0.5,1000,10,7,data/datasets/seed_20_lambda_0p50.npz,data/base_specs/seed_20.npz
seed_20_lambda_0p75,20,0.75,1000,10,7,data/datasets/seed_20_lambda_0p75.npz,data/base_specs/seed_20.npz
seed_20_lambda_1p00,20,1.0,1000,10,7,data/datasets/seed_20_lambda_1p00.npz,data/base_specs/seed_20.npz
seed_21_lambda_0p00,21,0.0,1000,10,8,data/datasets/seed_21_lambda_0p00.npz,data/base_specs/seed_21.npz
seed_21_lambda_0p25,21,0.25,1000,10,8,data/datasets/seed_21_lambda_0p25.npz,data/base_specs/seed_21.npz
seed_21_lambda_0p50,21,0.5,1000,10,8,data/datasets/seed_21_lambda_0p50.npz,data/base_specs/seed_21.npz
seed_21_lambda_0p75,21,0.75,1000,10,8,data/datasets/seed_21_lambda_0p75.npz,data/base_specs/seed_21.npz
seed_21_lambda_1p00,21,1.0,1000,10,8,data/datasets/seed_21_lambda_1p00.npz,data/base_specs/seed_21.npz
seed_22_lambda_0p00,22,0.0,1000,10,15,data/datasets/seed_22_lambda_0p00.npz,data/base_specs/seed_22.npz
seed_22_lambda_0p25,22,0.25,1000,10,15,data/datasets/seed_22_lambda_0p25.npz,data/base_specs/seed_22.npz
seed_22_lambda_0p50,22,0.5,1000,10,15,data/datasets/seed_22_lambda_0p50.npz,data/base_specs/seed_22.npz
seed_22_lambda_0p75,22,0.75,1000,10,15,data/datasets/seed_22_lambda_0p75.npz,data/base_specs/seed_22.npz
seed_22_lambda_1p00,22,1.0,1000,10,15,data/datasets/seed_22_lambda_1p00.npz,data/base_specs/seed_22.npz
seed_23_lambda_0p00,23,0.0,1000,10,12,data/datasets/seed_23_lambda_0p00.npz,data/base_specs/seed_23.npz
seed_23_lambda_0p25,23,0.25,1000,10,12,data/datasets/seed_23_lambda_0p25.npz,data/base_specs/seed_23.npz
seed_23_lambda_0p50,23,0.5,1000,10,12,data/datasets/seed_23_lambda_0p50.npz,data/base_specs/seed_23.npz
seed_23_lambda_0p75,23,0.75,1000,10,12,data/datasets/seed_23_lambda_0p75.npz,data/base_specs/seed_23.npz
seed_23_lambda_1p00,23,1.0,1000,10,12,data/datasets/seed_23_lambda_1p00.npz,data/base_specs/seed_23.npz
seed_24_lambda_0p00,24,0.0,1000,10,11,data/datasets/seed_24_lambda_0p00.npz,data/base_specs/seed_24.npz
seed_24_lambda_0p25,24,0.25,1000,10,11,data/datasets/seed_24_lambda_0p25.npz,data/base_specs/seed_24.npz
seed_24_lambda_0p50,24,0.5,1000,10,11,data/datasets/seed_24_lambda_0p50.npz,data/base_specs/seed_24.npz
seed_24_lambda_0p75,24,0.75,1000,10,11,data/datasets/seed_24_lambda_0p75.npz,data/base_specs/seed_24.npz
seed_24_lambda_1p00,24,1.0,1000,10,11,data/datasets/seed_24_lambda_1p00.npz,data/base_specs/seed_24.npz
seed_25_lambda_0p00,25,0.0,1000,10,14,data/datasets/seed_25_lambda_0p00.npz,data/base_specs/seed_25.npz
seed_25_lambda_0p25,25,0.25,1000,10,14,data/datasets/seed_25_lambda_0p25.npz,data/base_specs/seed_25.npz
seed_25_lambda_0p50,25,0.5,1000,10,14,data/datasets/seed_25_lambda_0p50.npz,data/base_specs/seed_25.npz
seed_25_lambda_0p75,25,0.75,1000,10,14,data/datasets/seed_25_lambda_0p75.npz,data/base_specs/seed_25.npz
seed_25_lambda_1p00,25,1.0,1000,10,14,data/datasets/seed_25_lambda_1p00.npz,data/base_specs/seed_25.npz
seed_26_lambda_0p00,26,0.0,1000,10,10,data/datasets/seed_26_lambda_0p00.npz,data/base_specs/seed_26.npz
seed_26_lambda_0p25,26,0.25,1000,10,10,data/datasets/seed_26_lambda_0p25.npz,data/base_specs/seed_26.npz
seed_26_lambda_0p50,26,0.5,1000,10,10,data/datasets/seed_26_lambda_0p50.npz,data/base_specs/seed_26.npz
seed_26_lambda_0p75,26,0.75,1000,10,10,data/datasets/seed_26_lambda_0p75.npz,data/base_specs/seed_26.npz
seed_26_lambda_1p00,26,1.0,1000,10,10,data/datasets/seed_26_lambda_1p00.npz,data/base_specs/seed_26.npz
seed_27_lambda_0p00,27,0.0,1000,10,12,data/datasets/seed_27_lambda_0p00.npz,data/base_specs/seed_27.npz
seed_27_lambda_0p25,27,0.25,1000,10,12,data/datasets/seed_27_lambda_0p25.npz,data/base_specs/seed_27.npz
seed_27_lambda_0p50,27,0.5,1000,10,12,data/datasets/seed_27_lambda_0p50.npz,data/base_specs/seed_27.npz
seed_27_lambda_0p75,27,0.75,1000,10,12,data/datasets/seed_27_lambda_0p75.npz,data/base_specs/seed_27.npz
seed_27_lambda_1p00,27,1.0,1000,10,12,data/datasets/seed_27_lambda_1p00.npz,data/base_specs/seed_27.npz
seed_28_lambda_0p00,28,0.0,1000,10,10,data/datasets/seed_28_lambda_0p00.npz,data/base_specs/seed_28.npz
seed_28_lambda_0p25,28,0.25,1000,10,10,data/datasets/seed_28_lambda_0p25.npz,data/base_specs/seed_28.npz
seed_28_lambda_0p50,28,0.5,1000,10,10,data/datasets/seed_28_lambda_0p50.npz,data/base_specs/seed_28.npz
seed_28_lambda_0p75,28,0.75,1000,10,10,data/datasets/seed_28_lambda_0p75.npz,data/base_specs/seed_28.npz
seed_28_lambda_1p00,28,1.0,1000,10,10,data/datasets/seed_28_lambda_1p00.npz,data/base_specs/seed_28.npz
seed_29_lambda_0p00,29,0.0,1000,10,3,data/datasets/seed_29_lambda_0p00.npz,data/base_specs/seed_29.npz
seed_29_lambda_0p25,29,0.25,1000,10,3,data/datasets/seed_29_lambda_0p25.npz,data/base_specs/seed_29.npz
seed_29_lambda_0p50,29,0.5,1000,10,3,data/datasets/seed_29_lambda_0p50.npz,data/base_specs/seed_29.npz
seed_29_lambda_0p75,29,0.75,1000,10,3,data/datasets/seed_29_lambda_0p75.npz,data/base_specs/seed_29.npz
seed_29_lambda_1p00,29,1.0,1000,10,3,data/datasets/seed_29_lambda_1p00.npz,data/base_specs/seed_29.npz
