pair_id,path,n_samples,raw_column_count,cause_column,effect_column,weight,sha256
pair0013,data/real/tuebingen/pairs_1_0/pair0013.txt,392,2,0,1,0.25,35ed9818fea9e757b7de09bffbf97dab02c43da8bf3cc54f842bc3963fb0aefc
pair0014,data/real/tuebingen/pairs_1_0/pair0014.txt,392,2,0,1,0.25,5dc157d7e5c7c77e80137c93f694abfb70897539668825ead38b38f262e2938d
pair0015,data/real/tuebingen/pairs_1_0/pair0015.txt,392,2,0,1,0.25,541a2a9b08e9ee967acf42ddd3e81438757939a1db226fd81352597d539d8a33
pair0016,data/real/tuebingen/pairs_1_0/pair0016.txt,392,2,0,1,0.25,ffd0a2db9432dbe176b358b375c45adced20dbff082bcc9eeb5df039cbda2ca1
pair0017,data/real/tuebingen/pairs_1_0/pair0017.txt,5000,2,0,1,0.5,e514f90c42d07af27df2518ccce71bd1ed04cc06213342b3b7ccda06792dc1dc
pair0018,data/real/tuebingen/pairs_1_0/pair0018.txt,314,2,0,1,1.0,be8e3a0c36086cdc63501dee9a4c33c19eadb231d7be2fc5a64ac2352bcdfe19
pair0019,data/real/tuebingen/pairs_1_0/pair0019.txt,194,2,0,1,1.0,a90f987a195b780c30cea508589af9e4905480f2c6b187a05b6d98bcc17c145c
pair0020,data/real/tuebingen/pairs_1_0/pair0020.txt,349,2,0,1,0.166,4e9da6e9a6f7483fb51d979dff67a7199d203252b2faec240ef4101b5b1c370f
pair0021,data/real/tuebingen/pairs_1_0/pair0021.txt,349,2,0,1,0.167,a03d0c03a57c743024d2a79aec339507e4b3ac6722dc193dc8c6752a3bdc9900
pair0022,data/real/tuebingen/pairs_1_0/pair0022.txt,450,2,0,1,0.333,fdf621ab2a38b9f07e7651c223291b4a38dac452d7f4a0557189506d4f7a1bc9
pair0023,data/real/tuebingen/pairs_1_0/pair0023.txt,452,2,0,1,0.333,8aed60da3eb756abee07a4df39d5855fcd62ebf37f48be470c580993b22f160e
pair0024,data/real/tuebingen/pairs_1_0/pair0024.txt,451,2,0,1,0.334,81dce26bbb7d590c1b07c1aea9e79859de6e383b2c29541dfd0c651caee17b40
pair0025,data/real/tuebingen/pairs_1_0/pair0025.txt,1030,2,0,1,0.125,370514c5af2c4ca1ab071f4a797c507d1c9ab2ffbeea73cea506b6f5aa5e0abe
pair0026,data/real/tuebingen/pairs_1_0/pair0026.txt,1030,2,0,1,0.125,1c9aeefbcbb6c9c9ba194b07297b81d4cb8110e2d1b4bc6c2aa93c234ccde57a
pair0027,data/real/tuebingen/pairs_1_0/pair0027.txt,1030,2,0,1,0.125,d0b1c99dfcfa8769edd129e6ad5055fa324156502958c1d4efb509aa0c7a78bf
pair0028,data/real/tuebingen/pairs_1_0/pair0028.txt,1030,2,0,1,0.125,792a618fb4786f69fb6a68ee7d5d015482145c7fe63b0635e80cb10232cfd660
pair0029,data/real/tuebingen/pairs_1_0/pair0029.txt,1030,2,0,1,0.125,35cc0409a045dbe7d5392caca93c19b1abe4183ea1a09e891acf97956da98a48
pair0030,data/real/tuebingen/pairs_1_0/pair0030.txt,1030,2,0,1,0.125,3f1b77581caecabf7fc2761b9ce1ade909e197ebe05c5dad9545e7bc7e732c5d
pair0031,data/real/tuebingen/pairs_1_0/pair0031.txt,1030,2,0,1,0.125,0304a806a6cc121837caf6652ad1aa141fefa558b3054c3e520bdb60ec0c0459
pair0032,data/real/tuebingen/pairs_1_0/pair0032.txt,1030,2,0,1,0.125,e5c1f50e1f09f037e3291a4b013780de26178acc68df90ad68da5f97643ce41f
pair0033,data/real/tuebingen/pairs_1_0/pair0033.txt,345,2,0,1,0.2,c3e14b39a15856af88a8a27b96b714ce021f2b10de85a1050119c2f6a7af44c0
pair0034,data/real/tuebingen/pairs_1_0/pair0034.txt,345,2,0,1,0.2,e986b85838c582e8fbe7f5d505345a87af150d59b901695bd3831efcb30a15f6
pair0035,data/real/tuebingen/pairs_1_0/pair0035.txt,345,2,0,1,0.2,6a571d2eac9fb9076eca0117dc4ce15080f669d414165083dae79faaf07d9a2a
pair0036,data/real/tuebingen/pairs_1_0/pair0036.txt,345,2,0,1,0.2,e53c05dd9caf7d79055e5b729ed0ca4db948f7c957e32f818ce86d3ccf0fd0e0
pair0037,data/real/tuebingen/pairs_1_0/pair0037.txt,345,2,0,1,0.2,7519f02d1920251b498ebafeaf47ddcded0cb295b0decd077dd6825b945859c5
pair0038,data/real/tuebingen/pairs_1_0/pair0038.txt,757,2,0,1,0.25,14ac69332f02f7c37729373d19be837b7063f7968b69c67d69058dc76ddd54c5
pair0039,data/real/tuebingen/pairs_1_0/pair0039.txt,394,2,0,1,0.25,91e0e676cab42281d42f4dd5540ce30cb9883d5fc55072b1be12a7342ad9c2a9
pair0040,data/real/tuebingen/pairs_1_0/pair0040.txt,733,2,0,1,0.25,020e06e17839d455658262b5745129d37a91117c2566cb14ac6bf24e4a12b460
pair0041,data/real/tuebingen/pairs_1_0/pair0041.txt,763,2,0,1,0.25,96111c7855f846d47f92db73971ecf190d8bc7cb714f1d9e25eb8ac6e14c9c63
pair0042,data/real/tuebingen/pairs_1_0/pair0042.txt,9162,2,0,1,0.5,0f1c69869149742ed4cb1ce34a4e6261b18d04aa982d6adf4fe12d3b74e5b795
pair0043,data/real/tuebingen/pairs_1_0/pair0043.txt,10369,2,0,1,0.25,576246a79b8cf204b21ecdbcba4e9e421a3bf737fa08b406afb5b83d61853501
pair0044,data/real/tuebingen/pairs_1_0/pair0044.txt,10369,2,0,1,0.25,1bc8156530e3ba20ea816ac1284af0cf909fdfec3eb6eeeec587a9247690a7cd
pair0045,data/real/tuebingen/pairs_1_0/pair0045.txt,10369,2,0,1,0.25,d5de1d7971f1d08f2d030f5dda64d065eb365bfc53696c7271f3e1a2268811d5
pair0046,data/real/tuebingen/pairs_1_0/pair0046.txt,10369,2,0,1,0.25,dc0bdc3b8bf06cece6967a436117e0c1935021ce98ce53ae9e803d3a54743aaa
pair0047,data/real/tuebingen/pairs_1_0/pair0047.txt,254,2,1,0,1.0,426b8c803fb19a11f5e98479f64468e3e3c67013ef1dfb48651a47c025b868f3
pair0048,data/real/tuebingen/pairs_1_0/pair0048.txt,168,2,1,0,1.0,213b815fc452da1526a015ef6b00cb12480aac2f8a15cb6d9452a5179df9d8eb
pair0049,data/real/tuebingen/pairs_1_0/pair0049.txt,365,2,1,0,0.333,511fa4a5632bfb1ed55dac3f5e0ac4418ded6073829009bbdf205c04bc01435d
pair0050,data/real/tuebingen/pairs_1_0/pair0050.txt,365,2,1,0,0.333,03a5d18697ae6d84993f033e35a70c556b233c44b18bc3623f9aa720833afdb4
pair0051,data/real/tuebingen/pairs_1_0/pair0051.txt,365,2,1,0,0.334,99dffad83a635a75d547a9df9b766b7bd02ed2fb45c93de113dd5816422f4979
pair0056,data/real/tuebingen/pairs_1_0/pair0056.txt,192,2,1,0,0.083,5034f1428bf13df2914fe4e55df22839105b724c2af0dd9a13399dba1e85dfc9
pair0057,data/real/tuebingen/pairs_1_0/pair0057.txt,192,2,1,0,0.083,e2706ff1da875cf676399b77123dc87b9c4074e91751e6e253a776f78f2822eb
pair0058,data/real/tuebingen/pairs_1_0/pair0058.txt,192,2,1,0,0.084,7976b7190c3a36eecf51cbe7c0763c48cb4405bbd8efc249d6a92ba2b4acf7fb
pair0059,data/real/tuebingen/pairs_1_0/pair0059.txt,192,2,1,0,0.083,8c15dd37bcd788b74ad9b9bf082d5237bcf73dd263b81240a1e4c0e226bda2e9
pair0060,data/real/tuebingen/pairs_1_0/pair0060.txt,192,2,1,0,0.083,391aca1d8cd6257bd1b553b221f42694fca8656932bb246dc34e1f1543545530
pair0061,data/real/tuebingen/pairs_1_0/pair0061.txt,192,2,1,0,0.084,dd5b9da559582d03c2b70a0260730ba2f7024bbad72017d78dda4263e70f8f85
pair0062,data/real/tuebingen/pairs_1_0/pair0062.txt,192,2,1,0,0.083,e8da46324bacb43056006b4caed67660a4d9944b4b107c30a968d99465e524a1
pair0063,data/real/tuebingen/pairs_1_0/pair0063.txt,192,2,1,0,0.083,d320beeb65095d4baba8edd4a72b6e9d75c597511f93691f19959b46faaf0521
pair0064,data/real/tuebingen/pairs_1_0/pair0064.txt,162,2,0,1,0.084,b347562c35f6bad95035ae3dbd360e159c61f6c392c555750cd7b6fe43cdd07c
pair0065,data/real/tuebingen/pairs_1_0/pair0065.txt,1331,2,0,1,0.333,9039e324bb7fdec38e6f89803f11d56779fd9d37121d0b3fee84acd824a0ff00
pair0066,data/real/tuebingen/pairs_1_0/pair0066.txt,1331,2,0,1,0.333,5d0454556505072751769050fbd426548dee5c732e63b30beb1cb1b15b635f44
pair0067,data/real/tuebingen/pairs_1_0/pair0067.txt,1331,2,0,1,0.334,2ebea7432360a4b40999b4bf5d3d86a9cecf27b3d0aae5ea61b669a25bb5f3c9
pair0068,data/real/tuebingen/pairs_1_0/pair0068.txt,498,2,1,0,1.0,755890d15199f78b6380aef30d38e7f5c52ae5c7e7e632291e3cfd7e0d2e2aa9
pair0069,data/real/tuebingen/pairs_1_0/pair0069.txt,16382,2,1,0,1.0,20e6ce353dc16a6c32ea6ac2abbff57a577aa18929c8bfd721d8ff27458e4f9d
pair0070,data/real/tuebingen/pairs_1_0/pair0070.txt,4499,2,0,1,1.0,1ffb01e2cae9a1c45e17c8c21cb4c667b4fc9de9ea45fd6a0b3caf32d0bde8c6
pair0072,data/real/tuebingen/pairs_1_0/pair0072.txt,1632,2,0,1,1.0,aeda54f50c84f55dd37c035f654a3150ba5157f32108a352d029dd3b1ca464c7
pair0073,data/real/tuebingen/pairs_1_0/pair0073.txt,5084,2,1,0,0.083,0d8587a14003881382326c0d4d8e02a29069e962da9f9609c651a950ca91c986
pair0074,data/real/tuebingen/pairs_1_0/pair0074.txt,194,2,0,1,0.083,914accef0eeb20d66fd6608f70be92f56c5d69067c8b48cbb58aa077e2da662f
pair0075,data/real/tuebingen/pairs_1_0/pair0075.txt,205,2,1,0,0.084,54d675b4d9e55b66af5505768170d08f9cfefc312854c55f0a6f6c0ef69bcaef
pair0076,data/real/tuebingen/pairs_1_0/pair0076.txt,347,2,0,1,1.0,b5eec5416d2ce23a30049f3fa1182feecb15fa5d412c3d898403ad428dd0cafb
pair0077,data/real/tuebingen/pairs_1_0/pair0077.txt,8401,2,1,0,0.5,5ffa56cba7640423bf3e0396642310f07de729bdcb8147e8ac688e65521040b3
pair0078,data/real/tuebingen/pairs_1_0/pair0078.txt,721,2,0,1,0.3333,e7aa998712efa08f53a7a0b4cb4b344af532d427b6823073975b38670d9942f0
pair0079,data/real/tuebingen/pairs_1_0/pair0079.txt,721,2,1,0,0.3333,1273cf3ab126add41c4a01350777e217bf4b2ed3d63eaa4dfff013af0cee5e4c
pair0080,data/real/tuebingen/pairs_1_0/pair0080.txt,721,2,1,0,0.3334,732b04f8572b23c65be78998ff1d05bd34ddf0890bb1ebbe554e9a8e5448351e
pair0081,data/real/tuebingen/pairs_1_0/pair0081.txt,365,3,0,1,0.3333,7802206f9bb2800d90523b4ec406294ef7b00fb08597736e78cf4d71136496d4
pair0082,data/real/tuebingen/pairs_1_0/pair0082.txt,365,3,0,1,0.3333,65f6df7fb8754cfbec6d88c5da3a613918a5fb798e0dfc470094380c1ea2ae7b
pair0083,data/real/tuebingen/pairs_1_0/pair0083.txt,365,3,0,1,0.3334,a81345edbd155d12443fc63bedd8a8a2a0899ba253609d29e4eb74cc9a35d543
pair0084,data/real/tuebingen/pairs_1_0/pair0084.txt,3102,2,1,0,1.0,993667547782c3c71ee3c07751035e335c95099434934023ee27b811a7c8174a
pair0085,data/real/tuebingen/pairs_1_0/pair0085.txt,994,2,0,1,1.0,7910596a002d3b3d1195935ae5d4b0ff7e4e95bdc608fad0692e1dc0202f445a
pair0086,data/real/tuebingen/pairs_1_0/pair0086.txt,666,2,0,1,1.0,0b6f8f9a0bb8771e55ec8f6f165b4e905cbd2eef3b0dbcca3ffd3f23e0e6b4d7
pair0087,data/real/tuebingen/pairs_1_0/pair0087.txt,7753,2,0,1,1.0,9414072c3f1aac027673457d1946385f27ffe25bb95bf24ec36d8059a6005dd4
pair0088,data/real/tuebingen/pairs_1_0/pair0088.txt,261,2,0,1,1.0,7cfadff8a7b6991bebd510e2944c701ce83e4d9d58de156d6d7d8182c813066e
pair0089,data/real/tuebingen/pairs_1_0/pair0089.txt,131,2,1,0,0.25,a50898ec615f738aed544683bddfa51f33705b52ddd8a99d8bf04ef75bc069e1
pair0090,data/real/tuebingen/pairs_1_0/pair0090.txt,126,2,1,0,0.25,857ed320b49ebdf7d03be973b305d48fa07ba1d7d61f518db863cad6e83b07fa
pair0091,data/real/tuebingen/pairs_1_0/pair0091.txt,149,2,0,1,0.25,17389cef7bc88c1e01dd6225ee1a0df9e94bac055ef4a8ad3a5a7d273237ed32
pair0092,data/real/tuebingen/pairs_1_0/pair0092.txt,150,2,1,0,0.25,38623585bc6dea4f75c02170a4a57ce22b36c047619c32145e7c56e9fd7f761e
pair0093,data/real/tuebingen/pairs_1_0/pair0093.txt,432,2,0,1,1.0,c1f18ac5364f0056ed8fe8733afb35a054919b279792d460346f7e88fdf6a67f
pair0094,data/real/tuebingen/pairs_1_0/pair0094.txt,9504,2,0,1,0.3333,2f7ee3e730844a8aadd4c74857e0e49d5653f97ff79a78dc0b652b63fe2579af
pair0095,data/real/tuebingen/pairs_1_0/pair0095.txt,9504,2,0,1,0.3333,e84def0bbeb91818a33125432b32f248daa3a04a17cb224ea927e905d1a8e8cd
pair0096,data/real/tuebingen/pairs_1_0/pair0096.txt,9504,2,0,1,0.3333,66943e9803dbaa09e2ec3935c83b291cb8637034ce20808c9d96378adde4c96e
pair0097,data/real/tuebingen/pairs_1_0/pair0097.txt,202,2,0,1,0.5,f38922894552c90a88c0c3d045b09b035ed2f57e39989cc7f0fcbfe5b77fc990
pair0098,data/real/tuebingen/pairs_1_0/pair0098.txt,94,2,0,1,0.5,8671b795070675d86cf0c239e454718e9e0915119c59c5d1a5f0d28e34aba094
pair0099,data/real/tuebingen/pairs_1_0/pair0099.txt,2287,2,1,0,1.0,03cad814aa2751173e466c966fc032b874f2955f1d9c5f4fe2bcf11f5901af72
pair0100,data/real/tuebingen/pairs_1_0/pair0100.txt,209,2,0,1,1.0,acbb7acd2c7279022eecdd2f6f3d1012fd8d11ff91877df0b2ae203d90127099
