dataset_id,stratum,base_seed,lambda,n_samples,n_variables,mechanism,noise,edge_count,dataset_path,base_spec_path
router_ood_tanh_seed_1002_lambda_0p50,router_ood_tanh,1002,0.5,1000,10,tanh_additive,laplace,14,data/synthetic/datasets/router_ood_tanh_seed_1002_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1002.npz
router_ood_tanh_seed_1002_lambda_0p75,router_ood_tanh,1002,0.75,1000,10,tanh_additive,laplace,14,data/synthetic/datasets/router_ood_tanh_seed_1002_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1002.npz
router_ood_tanh_seed_1002_lambda_1p00,router_ood_tanh,1002,1.0,1000,10,tanh_additive,laplace,14,data/synthetic/datasets/router_ood_tanh_seed_1002_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1002.npz
router_ood_tanh_seed_1003_lambda_0p00,router_ood_tanh,1003,0.0,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1003_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1003.npz
router_ood_tanh_seed_1003_lambda_0p25,router_ood_tanh,1003,0.25,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1003_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1003.npz
router_ood_tanh_seed_1003_lambda_0p50,router_ood_tanh,1003,0.5,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1003_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1003.npz
router_ood_tanh_seed_1003_lambda_0p75,router_ood_tanh,1003,0.75,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1003_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1003.npz
router_ood_tanh_seed_1003_lambda_1p00,router_ood_tanh,1003,1.0,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1003_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1003.npz
router_ood_tanh_seed_1004_lambda_0p00,router_ood_tanh,1004,0.0,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1004_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1004.npz
router_ood_tanh_seed_1004_lambda_0p25,router_ood_tanh,1004,0.25,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1004_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1004.npz
router_ood_tanh_seed_1004_lambda_0p50,router_ood_tanh,1004,0.5,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1004_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1004.npz
router_ood_tanh_seed_1004_lambda_0p75,router_ood_tanh,1004,0.75,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1004_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1004.npz
router_ood_tanh_seed_1004_lambda_1p00,router_ood_tanh,1004,1.0,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1004_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1004.npz
router_ood_tanh_seed_1005_lambda_0p00,router_ood_tanh,1005,0.0,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1005_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1005.npz
router_ood_tanh_seed_1005_lambda_0p25,router_ood_tanh,1005,0.25,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1005_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1005.npz
router_ood_tanh_seed_1005_lambda_0p50,router_ood_tanh,1005,0.5,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1005_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1005.npz
router_ood_tanh_seed_1005_lambda_0p75,router_ood_tanh,1005,0.75,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1005_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1005.npz
router_ood_tanh_seed_1005_lambda_1p00,router_ood_tanh,1005,1.0,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1005_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1005.npz
router_ood_tanh_seed_1006_lambda_0p00,router_ood_tanh,1006,0.0,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1006_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1006.npz
router_ood_tanh_seed_1006_lambda_0p25,router_ood_tanh,1006,0.25,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1006_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1006.npz
router_ood_tanh_seed_1006_lambda_0p50,router_ood_tanh,1006,0.5,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1006_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1006.npz
router_ood_tanh_seed_1006_lambda_0p75,router_ood_tanh,1006,0.75,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1006_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1006.npz
router_ood_tanh_seed_1006_lambda_1p00,router_ood_tanh,1006,1.0,1000,10,tanh_additive,laplace,12,data/synthetic/datasets/router_ood_tanh_seed_1006_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1006.npz
router_ood_tanh_seed_1007_lambda_0p00,router_ood_tanh,1007,0.0,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1007_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1007.npz
router_ood_tanh_seed_1007_lambda_0p25,router_ood_tanh,1007,0.25,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1007_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1007.npz
router_ood_tanh_seed_1007_lambda_0p50,router_ood_tanh,1007,0.5,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1007_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1007.npz
router_ood_tanh_seed_1007_lambda_0p75,router_ood_tanh,1007,0.75,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1007_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1007.npz
router_ood_tanh_seed_1007_lambda_1p00,router_ood_tanh,1007,1.0,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1007_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1007.npz
router_ood_tanh_seed_1008_lambda_0p00,router_ood_tanh,1008,0.0,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1008_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1008.npz
router_ood_tanh_seed_1008_lambda_0p25,router_ood_tanh,1008,0.25,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1008_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1008.npz
router_ood_tanh_seed_1008_lambda_0p50,router_ood_tanh,1008,0.5,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1008_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1008.npz
router_ood_tanh_seed_1008_lambda_0p75,router_ood_tanh,1008,0.75,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1008_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1008.npz
router_ood_tanh_seed_1008_lambda_1p00,router_ood_tanh,1008,1.0,1000,10,tanh_additive,laplace,8,data/synthetic/datasets/router_ood_tanh_seed_1008_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1008.npz
router_ood_tanh_seed_1009_lambda_0p00,router_ood_tanh,1009,0.0,1000,10,tanh_additive,laplace,15,data/synthetic/datasets/router_ood_tanh_seed_1009_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1009.npz
router_ood_tanh_seed_1009_lambda_0p25,router_ood_tanh,1009,0.25,1000,10,tanh_additive,laplace,15,data/synthetic/datasets/router_ood_tanh_seed_1009_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1009.npz
router_ood_tanh_seed_1009_lambda_0p50,router_ood_tanh,1009,0.5,1000,10,tanh_additive,laplace,15,data/synthetic/datasets/router_ood_tanh_seed_1009_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1009.npz
router_ood_tanh_seed_1009_lambda_0p75,router_ood_tanh,1009,0.75,1000,10,tanh_additive,laplace,15,data/synthetic/datasets/router_ood_tanh_seed_1009_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1009.npz
router_ood_tanh_seed_1009_lambda_1p00,router_ood_tanh,1009,1.0,1000,10,tanh_additive,laplace,15,data/synthetic/datasets/router_ood_tanh_seed_1009_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1009.npz
router_ood_tanh_seed_1010_lambda_0p00,router_ood_tanh,1010,0.0,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1010_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1010.npz
router_ood_tanh_seed_1010_lambda_0p25,router_ood_tanh,1010,0.25,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1010_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1010.npz
router_ood_tanh_seed_1010_lambda_0p50,router_ood_tanh,1010,0.5,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1010_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1010.npz
router_ood_tanh_seed_1010_lambda_0p75,router_ood_tanh,1010,0.75,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1010_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1010.npz
router_ood_tanh_seed_1010_lambda_1p00,router_ood_tanh,1010,1.0,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1010_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1010.npz
router_ood_tanh_seed_1011_lambda_0p00,router_ood_tanh,1011,0.0,1000,10,tanh_additive,laplace,5,data/synthetic/datasets/router_ood_tanh_seed_1011_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1011.npz
router_ood_tanh_seed_1011_lambda_0p25,router_ood_tanh,1011,0.25,1000,10,tanh_additive,laplace,5,data/synthetic/datasets/router_ood_tanh_seed_1011_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1011.npz
router_ood_tanh_seed_1011_lambda_0p50,router_ood_tanh,1011,0.5,1000,10,tanh_additive,laplace,5,data/synthetic/datasets/router_ood_tanh_seed_1011_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1011.npz
router_ood_tanh_seed_1011_lambda_0p75,router_ood_tanh,1011,0.75,1000,10,tanh_additive,laplace,5,data/synthetic/datasets/router_ood_tanh_seed_1011_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1011.npz
router_ood_tanh_seed_1011_lambda_1p00,router_ood_tanh,1011,1.0,1000,10,tanh_additive,laplace,5,data/synthetic/datasets/router_ood_tanh_seed_1011_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1011.npz
router_ood_tanh_seed_1012_lambda_0p00,router_ood_tanh,1012,0.0,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1012_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1012.npz
router_ood_tanh_seed_1012_lambda_0p25,router_ood_tanh,1012,0.25,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1012_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1012.npz
router_ood_tanh_seed_1012_lambda_0p50,router_ood_tanh,1012,0.5,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1012_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1012.npz
router_ood_tanh_seed_1012_lambda_0p75,router_ood_tanh,1012,0.75,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1012_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1012.npz
router_ood_tanh_seed_1012_lambda_1p00,router_ood_tanh,1012,1.0,1000,10,tanh_additive,laplace,10,data/synthetic/datasets/router_ood_tanh_seed_1012_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1012.npz
router_ood_tanh_seed_1013_lambda_0p00,router_ood_tanh,1013,0.0,1000,10,tanh_additive,laplace,13,data/synthetic/datasets/router_ood_tanh_seed_1013_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1013.npz
router_ood_tanh_seed_1013_lambda_0p25,router_ood_tanh,1013,0.25,1000,10,tanh_additive,laplace,13,data/synthetic/datasets/router_ood_tanh_seed_1013_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1013.npz
router_ood_tanh_seed_1013_lambda_0p50,router_ood_tanh,1013,0.5,1000,10,tanh_additive,laplace,13,data/synthetic/datasets/router_ood_tanh_seed_1013_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1013.npz
router_ood_tanh_seed_1013_lambda_0p75,router_ood_tanh,1013,0.75,1000,10,tanh_additive,laplace,13,data/synthetic/datasets/router_ood_tanh_seed_1013_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1013.npz
router_ood_tanh_seed_1013_lambda_1p00,router_ood_tanh,1013,1.0,1000,10,tanh_additive,laplace,13,data/synthetic/datasets/router_ood_tanh_seed_1013_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1013.npz
router_ood_tanh_seed_1014_lambda_0p00,router_ood_tanh,1014,0.0,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1014_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1014.npz
router_ood_tanh_seed_1014_lambda_0p25,router_ood_tanh,1014,0.25,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1014_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1014.npz
router_ood_tanh_seed_1014_lambda_0p50,router_ood_tanh,1014,0.5,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1014_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1014.npz
router_ood_tanh_seed_1014_lambda_0p75,router_ood_tanh,1014,0.75,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1014_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1014.npz
router_ood_tanh_seed_1014_lambda_1p00,router_ood_tanh,1014,1.0,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1014_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1014.npz
router_ood_student_t_seed_2000_lambda_0p00,router_ood_student_t,2000,0.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2000_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2000.npz
router_ood_student_t_seed_2000_lambda_0p25,router_ood_student_t,2000,0.25,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2000_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2000.npz
router_ood_student_t_seed_2000_lambda_0p50,router_ood_student_t,2000,0.5,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2000_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2000.npz
router_ood_student_t_seed_2000_lambda_0p75,router_ood_student_t,2000,0.75,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2000_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2000.npz
router_ood_student_t_seed_2000_lambda_1p00,router_ood_student_t,2000,1.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2000_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2000.npz
router_ood_student_t_seed_2001_lambda_0p00,router_ood_student_t,2001,0.0,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2001_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2001.npz
router_ood_student_t_seed_2001_lambda_0p25,router_ood_student_t,2001,0.25,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2001_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2001.npz
router_ood_student_t_seed_2001_lambda_0p50,router_ood_student_t,2001,0.5,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2001_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2001.npz
router_ood_student_t_seed_2001_lambda_0p75,router_ood_student_t,2001,0.75,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2001_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2001.npz
router_ood_student_t_seed_2001_lambda_1p00,router_ood_student_t,2001,1.0,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2001_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2001.npz
router_ood_student_t_seed_2002_lambda_0p00,router_ood_student_t,2002,0.0,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2002_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2002.npz
router_ood_student_t_seed_2002_lambda_0p25,router_ood_student_t,2002,0.25,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2002_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2002.npz
router_ood_student_t_seed_2002_lambda_0p50,router_ood_student_t,2002,0.5,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2002_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2002.npz
router_ood_student_t_seed_2002_lambda_0p75,router_ood_student_t,2002,0.75,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2002_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2002.npz
router_ood_student_t_seed_2002_lambda_1p00,router_ood_student_t,2002,1.0,1000,10,rff,student_t_df3,10,data/synthetic/datasets/router_ood_student_t_seed_2002_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2002.npz
router_ood_student_t_seed_2003_lambda_0p00,router_ood_student_t,2003,0.0,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2003_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2003.npz
router_ood_student_t_seed_2003_lambda_0p25,router_ood_student_t,2003,0.25,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2003_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2003.npz
router_ood_student_t_seed_2003_lambda_0p50,router_ood_student_t,2003,0.5,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2003_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2003.npz
router_ood_student_t_seed_2003_lambda_0p75,router_ood_student_t,2003,0.75,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2003_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2003.npz
router_ood_student_t_seed_2003_lambda_1p00,router_ood_student_t,2003,1.0,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2003_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2003.npz
router_ood_student_t_seed_2004_lambda_0p00,router_ood_student_t,2004,0.0,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2004_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2004.npz
router_ood_student_t_seed_2004_lambda_0p25,router_ood_student_t,2004,0.25,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2004_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2004.npz
router_ood_student_t_seed_2004_lambda_0p50,router_ood_student_t,2004,0.5,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2004_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2004.npz
router_ood_student_t_seed_2004_lambda_0p75,router_ood_student_t,2004,0.75,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2004_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2004.npz
router_ood_student_t_seed_2004_lambda_1p00,router_ood_student_t,2004,1.0,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2004_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2004.npz
router_ood_student_t_seed_2005_lambda_0p00,router_ood_student_t,2005,0.0,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2005_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2005.npz
router_ood_student_t_seed_2005_lambda_0p25,router_ood_student_t,2005,0.25,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2005_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2005.npz
router_ood_student_t_seed_2005_lambda_0p50,router_ood_student_t,2005,0.5,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2005_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2005.npz
router_ood_student_t_seed_2005_lambda_0p75,router_ood_student_t,2005,0.75,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2005_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2005.npz
router_ood_student_t_seed_2005_lambda_1p00,router_ood_student_t,2005,1.0,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2005_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2005.npz
router_ood_student_t_seed_2006_lambda_0p00,router_ood_student_t,2006,0.0,1000,10,rff,student_t_df3,13,data/synthetic/datasets/router_ood_student_t_seed_2006_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2006.npz
router_ood_student_t_seed_2006_lambda_0p25,router_ood_student_t,2006,0.25,1000,10,rff,student_t_df3,13,data/synthetic/datasets/router_ood_student_t_seed_2006_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2006.npz
router_ood_student_t_seed_2006_lambda_0p50,router_ood_student_t,2006,0.5,1000,10,rff,student_t_df3,13,data/synthetic/datasets/router_ood_student_t_seed_2006_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2006.npz
router_ood_student_t_seed_2006_lambda_0p75,router_ood_student_t,2006,0.75,1000,10,rff,student_t_df3,13,data/synthetic/datasets/router_ood_student_t_seed_2006_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2006.npz
router_ood_student_t_seed_2006_lambda_1p00,router_ood_student_t,2006,1.0,1000,10,rff,student_t_df3,13,data/synthetic/datasets/router_ood_student_t_seed_2006_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2006.npz
router_ood_student_t_seed_2007_lambda_0p00,router_ood_student_t,2007,0.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2007_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2007.npz
router_ood_student_t_seed_2007_lambda_0p25,router_ood_student_t,2007,0.25,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2007_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2007.npz
