task_id,split,domain,mechanism,noise,task_index,graph_seed,N,D,lambda,generator_mechanism,dataset_path
train_tanh_laplace_002,train,tanh_laplace,tanh,laplace,2,400042,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_002.npz
train_tanh_laplace_003,train,tanh_laplace,tanh,laplace,3,400043,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_003.npz
train_tanh_laplace_004,train,tanh_laplace,tanh,laplace,4,400044,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_004.npz
train_tanh_laplace_005,train,tanh_laplace,tanh,laplace,5,400045,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_005.npz
train_tanh_laplace_006,train,tanh_laplace,tanh,laplace,6,400046,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_006.npz
train_tanh_laplace_007,train,tanh_laplace,tanh,laplace,7,400047,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_007.npz
train_tanh_laplace_008,train,tanh_laplace,tanh,laplace,8,400048,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_008.npz
train_tanh_laplace_009,train,tanh_laplace,tanh,laplace,9,400049,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_009.npz
train_tanh_gaussian_000,train,tanh_gaussian,tanh,gaussian,0,400050,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_000.npz
train_tanh_gaussian_001,train,tanh_gaussian,tanh,gaussian,1,400051,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_001.npz
train_tanh_gaussian_002,train,tanh_gaussian,tanh,gaussian,2,400052,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_002.npz
train_tanh_gaussian_003,train,tanh_gaussian,tanh,gaussian,3,400053,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_003.npz
train_tanh_gaussian_004,train,tanh_gaussian,tanh,gaussian,4,400054,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_004.npz
train_tanh_gaussian_005,train,tanh_gaussian,tanh,gaussian,5,400055,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_005.npz
train_tanh_gaussian_006,train,tanh_gaussian,tanh,gaussian,6,400056,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_006.npz
train_tanh_gaussian_007,train,tanh_gaussian,tanh,gaussian,7,400057,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_007.npz
train_tanh_gaussian_008,train,tanh_gaussian,tanh,gaussian,8,400058,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_008.npz
train_tanh_gaussian_009,train,tanh_gaussian,tanh,gaussian,9,400059,1000,10,1.0,tanh,cache/datasets/train_tanh_gaussian_009.npz
train_tanh_student_t8_000,train,tanh_student_t8,tanh,student_t8,0,400060,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_000.npz
train_tanh_student_t8_001,train,tanh_student_t8,tanh,student_t8,1,400061,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_001.npz
train_tanh_student_t8_002,train,tanh_student_t8,tanh,student_t8,2,400062,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_002.npz
train_tanh_student_t8_003,train,tanh_student_t8,tanh,student_t8,3,400063,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_003.npz
train_tanh_student_t8_004,train,tanh_student_t8,tanh,student_t8,4,400064,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_004.npz
train_tanh_student_t8_005,train,tanh_student_t8,tanh,student_t8,5,400065,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_005.npz
train_tanh_student_t8_006,train,tanh_student_t8,tanh,student_t8,6,400066,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_006.npz
train_tanh_student_t8_007,train,tanh_student_t8,tanh,student_t8,7,400067,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_007.npz
train_tanh_student_t8_008,train,tanh_student_t8,tanh,student_t8,8,400068,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_008.npz
train_tanh_student_t8_009,train,tanh_student_t8,tanh,student_t8,9,400069,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t8_009.npz
train_tanh_student_t3_000,train,tanh_student_t3,tanh,student_t3,0,400070,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_000.npz
train_tanh_student_t3_001,train,tanh_student_t3,tanh,student_t3,1,400071,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_001.npz
train_tanh_student_t3_002,train,tanh_student_t3,tanh,student_t3,2,400072,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_002.npz
train_tanh_student_t3_003,train,tanh_student_t3,tanh,student_t3,3,400073,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_003.npz
train_tanh_student_t3_004,train,tanh_student_t3,tanh,student_t3,4,400074,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_004.npz
train_tanh_student_t3_005,train,tanh_student_t3,tanh,student_t3,5,400075,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_005.npz
train_tanh_student_t3_006,train,tanh_student_t3,tanh,student_t3,6,400076,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_006.npz
train_tanh_student_t3_007,train,tanh_student_t3,tanh,student_t3,7,400077,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_007.npz
train_tanh_student_t3_008,train,tanh_student_t3,tanh,student_t3,8,400078,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_008.npz
train_tanh_student_t3_009,train,tanh_student_t3,tanh,student_t3,9,400079,1000,10,1.0,tanh,cache/datasets/train_tanh_student_t3_009.npz
train_rff_laplace_000,train,rff_laplace,rff,laplace,0,400080,1000,10,1.0,rff,cache/datasets/train_rff_laplace_000.npz
train_rff_laplace_001,train,rff_laplace,rff,laplace,1,400081,1000,10,1.0,rff,cache/datasets/train_rff_laplace_001.npz
train_rff_laplace_002,train,rff_laplace,rff,laplace,2,400082,1000,10,1.0,rff,cache/datasets/train_rff_laplace_002.npz
train_rff_laplace_003,train,rff_laplace,rff,laplace,3,400083,1000,10,1.0,rff,cache/datasets/train_rff_laplace_003.npz
train_rff_laplace_004,train,rff_laplace,rff,laplace,4,400084,1000,10,1.0,rff,cache/datasets/train_rff_laplace_004.npz
train_rff_laplace_005,train,rff_laplace,rff,laplace,5,400085,1000,10,1.0,rff,cache/datasets/train_rff_laplace_005.npz
train_rff_laplace_006,train,rff_laplace,rff,laplace,6,400086,1000,10,1.0,rff,cache/datasets/train_rff_laplace_006.npz
train_rff_laplace_007,train,rff_laplace,rff,laplace,7,400087,1000,10,1.0,rff,cache/datasets/train_rff_laplace_007.npz
train_rff_laplace_008,train,rff_laplace,rff,laplace,8,400088,1000,10,1.0,rff,cache/datasets/train_rff_laplace_008.npz
train_rff_laplace_009,train,rff_laplace,rff,laplace,9,400089,1000,10,1.0,rff,cache/datasets/train_rff_laplace_009.npz
train_rff_gaussian_000,train,rff_gaussian,rff,gaussian,0,400090,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_000.npz
train_rff_gaussian_001,train,rff_gaussian,rff,gaussian,1,400091,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_001.npz
train_rff_gaussian_002,train,rff_gaussian,rff,gaussian,2,400092,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_002.npz
train_rff_gaussian_003,train,rff_gaussian,rff,gaussian,3,400093,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_003.npz
train_rff_gaussian_004,train,rff_gaussian,rff,gaussian,4,400094,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_004.npz
train_rff_gaussian_005,train,rff_gaussian,rff,gaussian,5,400095,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_005.npz
train_rff_gaussian_006,train,rff_gaussian,rff,gaussian,6,400096,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_006.npz
train_rff_gaussian_007,train,rff_gaussian,rff,gaussian,7,400097,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_007.npz
train_rff_gaussian_008,train,rff_gaussian,rff,gaussian,8,400098,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_008.npz
train_rff_gaussian_009,train,rff_gaussian,rff,gaussian,9,400099,1000,10,1.0,rff,cache/datasets/train_rff_gaussian_009.npz
train_rff_student_t8_000,train,rff_student_t8,rff,student_t8,0,400100,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_000.npz
train_rff_student_t8_001,train,rff_student_t8,rff,student_t8,1,400101,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_001.npz
train_rff_student_t8_002,train,rff_student_t8,rff,student_t8,2,400102,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_002.npz
train_rff_student_t8_003,train,rff_student_t8,rff,student_t8,3,400103,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_003.npz
train_rff_student_t8_004,train,rff_student_t8,rff,student_t8,4,400104,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_004.npz
train_rff_student_t8_005,train,rff_student_t8,rff,student_t8,5,400105,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_005.npz
train_rff_student_t8_006,train,rff_student_t8,rff,student_t8,6,400106,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_006.npz
train_rff_student_t8_007,train,rff_student_t8,rff,student_t8,7,400107,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_007.npz
train_rff_student_t8_008,train,rff_student_t8,rff,student_t8,8,400108,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_008.npz
train_rff_student_t8_009,train,rff_student_t8,rff,student_t8,9,400109,1000,10,1.0,rff,cache/datasets/train_rff_student_t8_009.npz
train_rff_student_t3_000,train,rff_student_t3,rff,student_t3,0,400110,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_000.npz
train_rff_student_t3_001,train,rff_student_t3,rff,student_t3,1,400111,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_001.npz
train_rff_student_t3_002,train,rff_student_t3,rff,student_t3,2,400112,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_002.npz
train_rff_student_t3_003,train,rff_student_t3,rff,student_t3,3,400113,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_003.npz
train_rff_student_t3_004,train,rff_student_t3,rff,student_t3,4,400114,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_004.npz
train_rff_student_t3_005,train,rff_student_t3,rff,student_t3,5,400115,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_005.npz
train_rff_student_t3_006,train,rff_student_t3,rff,student_t3,6,400116,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_006.npz
train_rff_student_t3_007,train,rff_student_t3,rff,student_t3,7,400117,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_007.npz
train_rff_student_t3_008,train,rff_student_t3,rff,student_t3,8,400118,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_008.npz
train_rff_student_t3_009,train,rff_student_t3,rff,student_t3,9,400119,1000,10,1.0,rff,cache/datasets/train_rff_student_t3_009.npz
train_interaction_laplace_000,train,interaction_laplace,interaction,laplace,0,400120,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_000.npz
train_interaction_laplace_001,train,interaction_laplace,interaction,laplace,1,400121,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_001.npz
train_interaction_laplace_002,train,interaction_laplace,interaction,laplace,2,400122,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_002.npz
train_interaction_laplace_003,train,interaction_laplace,interaction,laplace,3,400123,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_003.npz
train_interaction_laplace_004,train,interaction_laplace,interaction,laplace,4,400124,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_004.npz
train_interaction_laplace_005,train,interaction_laplace,interaction,laplace,5,400125,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_005.npz
train_interaction_laplace_006,train,interaction_laplace,interaction,laplace,6,400126,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_006.npz
train_interaction_laplace_007,train,interaction_laplace,interaction,laplace,7,400127,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_007.npz
train_interaction_laplace_008,train,interaction_laplace,interaction,laplace,8,400128,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_008.npz
train_interaction_laplace_009,train,interaction_laplace,interaction,laplace,9,400129,1000,10,1.0,interaction,cache/datasets/train_interaction_laplace_009.npz
train_interaction_gaussian_000,train,interaction_gaussian,interaction,gaussian,0,400130,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_000.npz
train_interaction_gaussian_001,train,interaction_gaussian,interaction,gaussian,1,400131,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_001.npz
train_interaction_gaussian_002,train,interaction_gaussian,interaction,gaussian,2,400132,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_002.npz
train_interaction_gaussian_003,train,interaction_gaussian,interaction,gaussian,3,400133,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_003.npz
train_interaction_gaussian_004,train,interaction_gaussian,interaction,gaussian,4,400134,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_004.npz
train_interaction_gaussian_005,train,interaction_gaussian,interaction,gaussian,5,400135,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_005.npz
train_interaction_gaussian_006,train,interaction_gaussian,interaction,gaussian,6,400136,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_006.npz
train_interaction_gaussian_007,train,interaction_gaussian,interaction,gaussian,7,400137,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_007.npz
train_interaction_gaussian_008,train,interaction_gaussian,interaction,gaussian,8,400138,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_008.npz
train_interaction_gaussian_009,train,interaction_gaussian,interaction,gaussian,9,400139,1000,10,1.0,interaction,cache/datasets/train_interaction_gaussian_009.npz
train_interaction_student_t8_000,train,interaction_student_t8,interaction,student_t8,0,400140,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_000.npz
train_interaction_student_t8_001,train,interaction_student_t8,interaction,student_t8,1,400141,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_001.npz
train_interaction_student_t8_002,train,interaction_student_t8,interaction,student_t8,2,400142,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_002.npz
train_interaction_student_t8_003,train,interaction_student_t8,interaction,student_t8,3,400143,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_003.npz
train_interaction_student_t8_004,train,interaction_student_t8,interaction,student_t8,4,400144,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_004.npz
train_interaction_student_t8_005,train,interaction_student_t8,interaction,student_t8,5,400145,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_005.npz
train_interaction_student_t8_006,train,interaction_student_t8,interaction,student_t8,6,400146,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_006.npz
train_interaction_student_t8_007,train,interaction_student_t8,interaction,student_t8,7,400147,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_007.npz
train_interaction_student_t8_008,train,interaction_student_t8,interaction,student_t8,8,400148,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_008.npz
train_interaction_student_t8_009,train,interaction_student_t8,interaction,student_t8,9,400149,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t8_009.npz
train_interaction_student_t3_000,train,interaction_student_t3,interaction,student_t3,0,400150,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_000.npz
train_interaction_student_t3_001,train,interaction_student_t3,interaction,student_t3,1,400151,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_001.npz
train_interaction_student_t3_002,train,interaction_student_t3,interaction,student_t3,2,400152,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_002.npz
train_interaction_student_t3_003,train,interaction_student_t3,interaction,student_t3,3,400153,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_003.npz
train_interaction_student_t3_004,train,interaction_student_t3,interaction,student_t3,4,400154,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_004.npz
train_interaction_student_t3_005,train,interaction_student_t3,interaction,student_t3,5,400155,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_005.npz
train_interaction_student_t3_006,train,interaction_student_t3,interaction,student_t3,6,400156,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_006.npz
train_interaction_student_t3_007,train,interaction_student_t3,interaction,student_t3,7,400157,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_007.npz
train_interaction_student_t3_008,train,interaction_student_t3,interaction,student_t3,8,400158,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_008.npz
train_interaction_student_t3_009,train,interaction_student_t3,interaction,student_t3,9,400159,1000,10,1.0,interaction,cache/datasets/train_interaction_student_t3_009.npz
