task_id,split,domain,mechanism,noise,task_index,graph_seed,N,D,lambda,generator_mechanism,dataset_path
final_quadratic_exponential_007,final,quadratic_exponential,quadratic,exponential,7,600047,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_007.npz
final_quadratic_exponential_008,final,quadratic_exponential,quadratic,exponential,8,600048,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_008.npz
final_quadratic_exponential_009,final,quadratic_exponential,quadratic,exponential,9,600049,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_009.npz
final_quadratic_exponential_010,final,quadratic_exponential,quadratic,exponential,10,600050,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_010.npz
final_quadratic_exponential_011,final,quadratic_exponential,quadratic,exponential,11,600051,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_011.npz
final_quadratic_exponential_012,final,quadratic_exponential,quadratic,exponential,12,600052,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_012.npz
final_quadratic_exponential_013,final,quadratic_exponential,quadratic,exponential,13,600053,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_013.npz
final_quadratic_exponential_014,final,quadratic_exponential,quadratic,exponential,14,600054,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_014.npz
final_quadratic_exponential_015,final,quadratic_exponential,quadratic,exponential,15,600055,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_015.npz
final_quadratic_exponential_016,final,quadratic_exponential,quadratic,exponential,16,600056,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_016.npz
final_quadratic_exponential_017,final,quadratic_exponential,quadratic,exponential,17,600057,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_017.npz
final_quadratic_exponential_018,final,quadratic_exponential,quadratic,exponential,18,600058,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_018.npz
final_quadratic_exponential_019,final,quadratic_exponential,quadratic,exponential,19,600059,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_019.npz
final_piecewise_gaussian_000,final,piecewise_gaussian,piecewise,gaussian,0,600060,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_000.npz
final_piecewise_gaussian_001,final,piecewise_gaussian,piecewise,gaussian,1,600061,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_001.npz
final_piecewise_gaussian_002,final,piecewise_gaussian,piecewise,gaussian,2,600062,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_002.npz
final_piecewise_gaussian_003,final,piecewise_gaussian,piecewise,gaussian,3,600063,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_003.npz
final_piecewise_gaussian_004,final,piecewise_gaussian,piecewise,gaussian,4,600064,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_004.npz
final_piecewise_gaussian_005,final,piecewise_gaussian,piecewise,gaussian,5,600065,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_005.npz
final_piecewise_gaussian_006,final,piecewise_gaussian,piecewise,gaussian,6,600066,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_006.npz
final_piecewise_gaussian_007,final,piecewise_gaussian,piecewise,gaussian,7,600067,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_007.npz
final_piecewise_gaussian_008,final,piecewise_gaussian,piecewise,gaussian,8,600068,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_008.npz
final_piecewise_gaussian_009,final,piecewise_gaussian,piecewise,gaussian,9,600069,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_009.npz
final_piecewise_gaussian_010,final,piecewise_gaussian,piecewise,gaussian,10,600070,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_010.npz
final_piecewise_gaussian_011,final,piecewise_gaussian,piecewise,gaussian,11,600071,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_011.npz
final_piecewise_gaussian_012,final,piecewise_gaussian,piecewise,gaussian,12,600072,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_012.npz
final_piecewise_gaussian_013,final,piecewise_gaussian,piecewise,gaussian,13,600073,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_013.npz
final_piecewise_gaussian_014,final,piecewise_gaussian,piecewise,gaussian,14,600074,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_014.npz
final_piecewise_gaussian_015,final,piecewise_gaussian,piecewise,gaussian,15,600075,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_015.npz
final_piecewise_gaussian_016,final,piecewise_gaussian,piecewise,gaussian,16,600076,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_016.npz
final_piecewise_gaussian_017,final,piecewise_gaussian,piecewise,gaussian,17,600077,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_017.npz
final_piecewise_gaussian_018,final,piecewise_gaussian,piecewise,gaussian,18,600078,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_018.npz
final_piecewise_gaussian_019,final,piecewise_gaussian,piecewise,gaussian,19,600079,1000,10,1.0,piecewise,cache/datasets/final_piecewise_gaussian_019.npz
final_piecewise_student_t3_000,final,piecewise_student_t3,piecewise,student_t3,0,600080,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_000.npz
final_piecewise_student_t3_001,final,piecewise_student_t3,piecewise,student_t3,1,600081,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_001.npz
final_piecewise_student_t3_002,final,piecewise_student_t3,piecewise,student_t3,2,600082,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_002.npz
final_piecewise_student_t3_003,final,piecewise_student_t3,piecewise,student_t3,3,600083,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_003.npz
final_piecewise_student_t3_004,final,piecewise_student_t3,piecewise,student_t3,4,600084,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_004.npz
final_piecewise_student_t3_005,final,piecewise_student_t3,piecewise,student_t3,5,600085,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_005.npz
final_piecewise_student_t3_006,final,piecewise_student_t3,piecewise,student_t3,6,600086,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_006.npz
final_piecewise_student_t3_007,final,piecewise_student_t3,piecewise,student_t3,7,600087,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_007.npz
final_piecewise_student_t3_008,final,piecewise_student_t3,piecewise,student_t3,8,600088,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_008.npz
final_piecewise_student_t3_009,final,piecewise_student_t3,piecewise,student_t3,9,600089,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_009.npz
final_piecewise_student_t3_010,final,piecewise_student_t3,piecewise,student_t3,10,600090,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_010.npz
final_piecewise_student_t3_011,final,piecewise_student_t3,piecewise,student_t3,11,600091,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_011.npz
final_piecewise_student_t3_012,final,piecewise_student_t3,piecewise,student_t3,12,600092,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_012.npz
final_piecewise_student_t3_013,final,piecewise_student_t3,piecewise,student_t3,13,600093,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_013.npz
final_piecewise_student_t3_014,final,piecewise_student_t3,piecewise,student_t3,14,600094,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_014.npz
final_piecewise_student_t3_015,final,piecewise_student_t3,piecewise,student_t3,15,600095,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_015.npz
final_piecewise_student_t3_016,final,piecewise_student_t3,piecewise,student_t3,16,600096,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_016.npz
final_piecewise_student_t3_017,final,piecewise_student_t3,piecewise,student_t3,17,600097,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_017.npz
final_piecewise_student_t3_018,final,piecewise_student_t3,piecewise,student_t3,18,600098,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_018.npz
final_piecewise_student_t3_019,final,piecewise_student_t3,piecewise,student_t3,19,600099,1000,10,1.0,piecewise,cache/datasets/final_piecewise_student_t3_019.npz
final_piecewise_exponential_000,final,piecewise_exponential,piecewise,exponential,0,600100,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_000.npz
final_piecewise_exponential_001,final,piecewise_exponential,piecewise,exponential,1,600101,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_001.npz
final_piecewise_exponential_002,final,piecewise_exponential,piecewise,exponential,2,600102,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_002.npz
final_piecewise_exponential_003,final,piecewise_exponential,piecewise,exponential,3,600103,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_003.npz
final_piecewise_exponential_004,final,piecewise_exponential,piecewise,exponential,4,600104,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_004.npz
final_piecewise_exponential_005,final,piecewise_exponential,piecewise,exponential,5,600105,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_005.npz
final_piecewise_exponential_006,final,piecewise_exponential,piecewise,exponential,6,600106,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_006.npz
final_piecewise_exponential_007,final,piecewise_exponential,piecewise,exponential,7,600107,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_007.npz
final_piecewise_exponential_008,final,piecewise_exponential,piecewise,exponential,8,600108,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_008.npz
final_piecewise_exponential_009,final,piecewise_exponential,piecewise,exponential,9,600109,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_009.npz
final_piecewise_exponential_010,final,piecewise_exponential,piecewise,exponential,10,600110,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_010.npz
final_piecewise_exponential_011,final,piecewise_exponential,piecewise,exponential,11,600111,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_011.npz
final_piecewise_exponential_012,final,piecewise_exponential,piecewise,exponential,12,600112,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_012.npz
final_piecewise_exponential_013,final,piecewise_exponential,piecewise,exponential,13,600113,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_013.npz
final_piecewise_exponential_014,final,piecewise_exponential,piecewise,exponential,14,600114,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_014.npz
final_piecewise_exponential_015,final,piecewise_exponential,piecewise,exponential,15,600115,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_015.npz
final_piecewise_exponential_016,final,piecewise_exponential,piecewise,exponential,16,600116,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_016.npz
final_piecewise_exponential_017,final,piecewise_exponential,piecewise,exponential,17,600117,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_017.npz
final_piecewise_exponential_018,final,piecewise_exponential,piecewise,exponential,18,600118,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_018.npz
final_piecewise_exponential_019,final,piecewise_exponential,piecewise,exponential,19,600119,1000,10,1.0,piecewise,cache/datasets/final_piecewise_exponential_019.npz
