task_id,split,domain,mechanism,noise,task_index,graph_seed,lambda,n_samples,n_variables,path
train_src_tanh_laplace_0080,train,src_tanh_laplace,tanh,laplace,80,100081,0.0,1000,10,data/tasks/train_src_tanh_laplace_0080.npz
train_src_tanh_gaussian_0081,train,src_tanh_gaussian,tanh,gaussian,81,100082,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0081.npz
train_src_softsign_laplace_0082,train,src_softsign_laplace,softsign,laplace,82,100083,0.5,1000,10,data/tasks/train_src_softsign_laplace_0082.npz
train_src_interaction_studentt8_0083,train,src_interaction_studentt8,interaction,student_t8,83,100084,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0083.npz
train_src_rff_laplace_0084,train,src_rff_laplace,rff,laplace,84,100085,1.0,1000,10,data/tasks/train_src_rff_laplace_0084.npz
train_src_rff_gaussian_0085,train,src_rff_gaussian,rff,gaussian,85,100086,0.0,1000,10,data/tasks/train_src_rff_gaussian_0085.npz
train_src_tanh_laplace_0086,train,src_tanh_laplace,tanh,laplace,86,100087,0.25,1000,10,data/tasks/train_src_tanh_laplace_0086.npz
train_src_tanh_gaussian_0087,train,src_tanh_gaussian,tanh,gaussian,87,100088,0.5,1000,10,data/tasks/train_src_tanh_gaussian_0087.npz
train_src_softsign_laplace_0088,train,src_softsign_laplace,softsign,laplace,88,100089,0.75,1000,10,data/tasks/train_src_softsign_laplace_0088.npz
train_src_interaction_studentt8_0089,train,src_interaction_studentt8,interaction,student_t8,89,100090,1.0,1000,10,data/tasks/train_src_interaction_studentt8_0089.npz
train_src_rff_laplace_0090,train,src_rff_laplace,rff,laplace,90,100091,0.0,1000,10,data/tasks/train_src_rff_laplace_0090.npz
train_src_rff_gaussian_0091,train,src_rff_gaussian,rff,gaussian,91,100092,0.25,1000,10,data/tasks/train_src_rff_gaussian_0091.npz
train_src_tanh_laplace_0092,train,src_tanh_laplace,tanh,laplace,92,100093,0.5,1000,10,data/tasks/train_src_tanh_laplace_0092.npz
train_src_tanh_gaussian_0093,train,src_tanh_gaussian,tanh,gaussian,93,100094,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0093.npz
train_src_softsign_laplace_0094,train,src_softsign_laplace,softsign,laplace,94,100095,1.0,1000,10,data/tasks/train_src_softsign_laplace_0094.npz
train_src_interaction_studentt8_0095,train,src_interaction_studentt8,interaction,student_t8,95,100096,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0095.npz
train_src_rff_laplace_0096,train,src_rff_laplace,rff,laplace,96,100097,0.25,1000,10,data/tasks/train_src_rff_laplace_0096.npz
train_src_rff_gaussian_0097,train,src_rff_gaussian,rff,gaussian,97,100098,0.5,1000,10,data/tasks/train_src_rff_gaussian_0097.npz
train_src_tanh_laplace_0098,train,src_tanh_laplace,tanh,laplace,98,100099,0.75,1000,10,data/tasks/train_src_tanh_laplace_0098.npz
train_src_tanh_gaussian_0099,train,src_tanh_gaussian,tanh,gaussian,99,100100,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0099.npz
train_src_softsign_laplace_0100,train,src_softsign_laplace,softsign,laplace,100,100101,0.0,1000,10,data/tasks/train_src_softsign_laplace_0100.npz
train_src_interaction_studentt8_0101,train,src_interaction_studentt8,interaction,student_t8,101,100102,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0101.npz
train_src_rff_laplace_0102,train,src_rff_laplace,rff,laplace,102,100103,0.5,1000,10,data/tasks/train_src_rff_laplace_0102.npz
train_src_rff_gaussian_0103,train,src_rff_gaussian,rff,gaussian,103,100104,0.75,1000,10,data/tasks/train_src_rff_gaussian_0103.npz
train_src_tanh_laplace_0104,train,src_tanh_laplace,tanh,laplace,104,100105,1.0,1000,10,data/tasks/train_src_tanh_laplace_0104.npz
train_src_tanh_gaussian_0105,train,src_tanh_gaussian,tanh,gaussian,105,100106,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0105.npz
train_src_softsign_laplace_0106,train,src_softsign_laplace,softsign,laplace,106,100107,0.25,1000,10,data/tasks/train_src_softsign_laplace_0106.npz
train_src_interaction_studentt8_0107,train,src_interaction_studentt8,interaction,student_t8,107,100108,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0107.npz
train_src_rff_laplace_0108,train,src_rff_laplace,rff,laplace,108,100109,0.75,1000,10,data/tasks/train_src_rff_laplace_0108.npz
train_src_rff_gaussian_0109,train,src_rff_gaussian,rff,gaussian,109,100110,1.0,1000,10,data/tasks/train_src_rff_gaussian_0109.npz
train_src_tanh_laplace_0110,train,src_tanh_laplace,tanh,laplace,110,100111,0.0,1000,10,data/tasks/train_src_tanh_laplace_0110.npz
train_src_tanh_gaussian_0111,train,src_tanh_gaussian,tanh,gaussian,111,100112,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0111.npz
train_src_softsign_laplace_0112,train,src_softsign_laplace,softsign,laplace,112,100113,0.5,1000,10,data/tasks/train_src_softsign_laplace_0112.npz
train_src_interaction_studentt8_0113,train,src_interaction_studentt8,interaction,student_t8,113,100114,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0113.npz
train_src_rff_laplace_0114,train,src_rff_laplace,rff,laplace,114,100115,1.0,1000,10,data/tasks/train_src_rff_laplace_0114.npz
train_src_rff_gaussian_0115,train,src_rff_gaussian,rff,gaussian,115,100116,0.0,1000,10,data/tasks/train_src_rff_gaussian_0115.npz
train_src_tanh_laplace_0116,train,src_tanh_laplace,tanh,laplace,116,100117,0.25,1000,10,data/tasks/train_src_tanh_laplace_0116.npz
train_src_tanh_gaussian_0117,train,src_tanh_gaussian,tanh,gaussian,117,100118,0.5,1000,10,data/tasks/train_src_tanh_gaussian_0117.npz
train_src_softsign_laplace_0118,train,src_softsign_laplace,softsign,laplace,118,100119,0.75,1000,10,data/tasks/train_src_softsign_laplace_0118.npz
train_src_interaction_studentt8_0119,train,src_interaction_studentt8,interaction,student_t8,119,100120,1.0,1000,10,data/tasks/train_src_interaction_studentt8_0119.npz
train_src_rff_laplace_0120,train,src_rff_laplace,rff,laplace,120,100121,0.0,1000,10,data/tasks/train_src_rff_laplace_0120.npz
train_src_rff_gaussian_0121,train,src_rff_gaussian,rff,gaussian,121,100122,0.25,1000,10,data/tasks/train_src_rff_gaussian_0121.npz
train_src_tanh_laplace_0122,train,src_tanh_laplace,tanh,laplace,122,100123,0.5,1000,10,data/tasks/train_src_tanh_laplace_0122.npz
train_src_tanh_gaussian_0123,train,src_tanh_gaussian,tanh,gaussian,123,100124,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0123.npz
train_src_softsign_laplace_0124,train,src_softsign_laplace,softsign,laplace,124,100125,1.0,1000,10,data/tasks/train_src_softsign_laplace_0124.npz
train_src_interaction_studentt8_0125,train,src_interaction_studentt8,interaction,student_t8,125,100126,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0125.npz
train_src_rff_laplace_0126,train,src_rff_laplace,rff,laplace,126,100127,0.25,1000,10,data/tasks/train_src_rff_laplace_0126.npz
train_src_rff_gaussian_0127,train,src_rff_gaussian,rff,gaussian,127,100128,0.5,1000,10,data/tasks/train_src_rff_gaussian_0127.npz
train_src_tanh_laplace_0128,train,src_tanh_laplace,tanh,laplace,128,100129,0.75,1000,10,data/tasks/train_src_tanh_laplace_0128.npz
train_src_tanh_gaussian_0129,train,src_tanh_gaussian,tanh,gaussian,129,100130,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0129.npz
train_src_softsign_laplace_0130,train,src_softsign_laplace,softsign,laplace,130,100131,0.0,1000,10,data/tasks/train_src_softsign_laplace_0130.npz
train_src_interaction_studentt8_0131,train,src_interaction_studentt8,interaction,student_t8,131,100132,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0131.npz
train_src_rff_laplace_0132,train,src_rff_laplace,rff,laplace,132,100133,0.5,1000,10,data/tasks/train_src_rff_laplace_0132.npz
train_src_rff_gaussian_0133,train,src_rff_gaussian,rff,gaussian,133,100134,0.75,1000,10,data/tasks/train_src_rff_gaussian_0133.npz
train_src_tanh_laplace_0134,train,src_tanh_laplace,tanh,laplace,134,100135,1.0,1000,10,data/tasks/train_src_tanh_laplace_0134.npz
train_src_tanh_gaussian_0135,train,src_tanh_gaussian,tanh,gaussian,135,100136,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0135.npz
train_src_softsign_laplace_0136,train,src_softsign_laplace,softsign,laplace,136,100137,0.25,1000,10,data/tasks/train_src_softsign_laplace_0136.npz
train_src_interaction_studentt8_0137,train,src_interaction_studentt8,interaction,student_t8,137,100138,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0137.npz
train_src_rff_laplace_0138,train,src_rff_laplace,rff,laplace,138,100139,0.75,1000,10,data/tasks/train_src_rff_laplace_0138.npz
train_src_rff_gaussian_0139,train,src_rff_gaussian,rff,gaussian,139,100140,1.0,1000,10,data/tasks/train_src_rff_gaussian_0139.npz
train_src_tanh_laplace_0140,train,src_tanh_laplace,tanh,laplace,140,100141,0.0,1000,10,data/tasks/train_src_tanh_laplace_0140.npz
train_src_tanh_gaussian_0141,train,src_tanh_gaussian,tanh,gaussian,141,100142,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0141.npz
train_src_softsign_laplace_0142,train,src_softsign_laplace,softsign,laplace,142,100143,0.5,1000,10,data/tasks/train_src_softsign_laplace_0142.npz
train_src_interaction_studentt8_0143,train,src_interaction_studentt8,interaction,student_t8,143,100144,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0143.npz
train_src_rff_laplace_0144,train,src_rff_laplace,rff,laplace,144,100145,1.0,1000,10,data/tasks/train_src_rff_laplace_0144.npz
train_src_rff_gaussian_0145,train,src_rff_gaussian,rff,gaussian,145,100146,0.0,1000,10,data/tasks/train_src_rff_gaussian_0145.npz
train_src_tanh_laplace_0146,train,src_tanh_laplace,tanh,laplace,146,100147,0.25,1000,10,data/tasks/train_src_tanh_laplace_0146.npz
train_src_tanh_gaussian_0147,train,src_tanh_gaussian,tanh,gaussian,147,100148,0.5,1000,10,data/tasks/train_src_tanh_gaussian_0147.npz
train_src_softsign_laplace_0148,train,src_softsign_laplace,softsign,laplace,148,100149,0.75,1000,10,data/tasks/train_src_softsign_laplace_0148.npz
train_src_interaction_studentt8_0149,train,src_interaction_studentt8,interaction,student_t8,149,100150,1.0,1000,10,data/tasks/train_src_interaction_studentt8_0149.npz
train_src_rff_laplace_0150,train,src_rff_laplace,rff,laplace,150,100151,0.0,1000,10,data/tasks/train_src_rff_laplace_0150.npz
train_src_rff_gaussian_0151,train,src_rff_gaussian,rff,gaussian,151,100152,0.25,1000,10,data/tasks/train_src_rff_gaussian_0151.npz
train_src_tanh_laplace_0152,train,src_tanh_laplace,tanh,laplace,152,100153,0.5,1000,10,data/tasks/train_src_tanh_laplace_0152.npz
train_src_tanh_gaussian_0153,train,src_tanh_gaussian,tanh,gaussian,153,100154,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0153.npz
train_src_softsign_laplace_0154,train,src_softsign_laplace,softsign,laplace,154,100155,1.0,1000,10,data/tasks/train_src_softsign_laplace_0154.npz
train_src_interaction_studentt8_0155,train,src_interaction_studentt8,interaction,student_t8,155,100156,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0155.npz
train_src_rff_laplace_0156,train,src_rff_laplace,rff,laplace,156,100157,0.25,1000,10,data/tasks/train_src_rff_laplace_0156.npz
train_src_rff_gaussian_0157,train,src_rff_gaussian,rff,gaussian,157,100158,0.5,1000,10,data/tasks/train_src_rff_gaussian_0157.npz
train_src_tanh_laplace_0158,train,src_tanh_laplace,tanh,laplace,158,100159,0.75,1000,10,data/tasks/train_src_tanh_laplace_0158.npz
train_src_tanh_gaussian_0159,train,src_tanh_gaussian,tanh,gaussian,159,100160,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0159.npz
train_src_softsign_laplace_0160,train,src_softsign_laplace,softsign,laplace,160,100161,0.0,1000,10,data/tasks/train_src_softsign_laplace_0160.npz
train_src_interaction_studentt8_0161,train,src_interaction_studentt8,interaction,student_t8,161,100162,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0161.npz
train_src_rff_laplace_0162,train,src_rff_laplace,rff,laplace,162,100163,0.5,1000,10,data/tasks/train_src_rff_laplace_0162.npz
train_src_rff_gaussian_0163,train,src_rff_gaussian,rff,gaussian,163,100164,0.75,1000,10,data/tasks/train_src_rff_gaussian_0163.npz
train_src_tanh_laplace_0164,train,src_tanh_laplace,tanh,laplace,164,100165,1.0,1000,10,data/tasks/train_src_tanh_laplace_0164.npz
train_src_tanh_gaussian_0165,train,src_tanh_gaussian,tanh,gaussian,165,100166,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0165.npz
train_src_softsign_laplace_0166,train,src_softsign_laplace,softsign,laplace,166,100167,0.25,1000,10,data/tasks/train_src_softsign_laplace_0166.npz
train_src_interaction_studentt8_0167,train,src_interaction_studentt8,interaction,student_t8,167,100168,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0167.npz
train_src_rff_laplace_0168,train,src_rff_laplace,rff,laplace,168,100169,0.75,1000,10,data/tasks/train_src_rff_laplace_0168.npz
train_src_rff_gaussian_0169,train,src_rff_gaussian,rff,gaussian,169,100170,1.0,1000,10,data/tasks/train_src_rff_gaussian_0169.npz
train_src_tanh_laplace_0170,train,src_tanh_laplace,tanh,laplace,170,100171,0.0,1000,10,data/tasks/train_src_tanh_laplace_0170.npz
train_src_tanh_gaussian_0171,train,src_tanh_gaussian,tanh,gaussian,171,100172,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0171.npz
train_src_softsign_laplace_0172,train,src_softsign_laplace,softsign,laplace,172,100173,0.5,1000,10,data/tasks/train_src_softsign_laplace_0172.npz
train_src_interaction_studentt8_0173,train,src_interaction_studentt8,interaction,student_t8,173,100174,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0173.npz
train_src_rff_laplace_0174,train,src_rff_laplace,rff,laplace,174,100175,1.0,1000,10,data/tasks/train_src_rff_laplace_0174.npz
train_src_rff_gaussian_0175,train,src_rff_gaussian,rff,gaussian,175,100176,0.0,1000,10,data/tasks/train_src_rff_gaussian_0175.npz
train_src_tanh_laplace_0176,train,src_tanh_laplace,tanh,laplace,176,100177,0.25,1000,10,data/tasks/train_src_tanh_laplace_0176.npz
train_src_tanh_gaussian_0177,train,src_tanh_gaussian,tanh,gaussian,177,100178,0.5,1000,10,data/tasks/train_src_tanh_gaussian_0177.npz
train_src_softsign_laplace_0178,train,src_softsign_laplace,softsign,laplace,178,100179,0.75,1000,10,data/tasks/train_src_softsign_laplace_0178.npz
train_src_interaction_studentt8_0179,train,src_interaction_studentt8,interaction,student_t8,179,100180,1.0,1000,10,data/tasks/train_src_interaction_studentt8_0179.npz
train_src_rff_laplace_0180,train,src_rff_laplace,rff,laplace,180,100181,0.0,1000,10,data/tasks/train_src_rff_laplace_0180.npz
train_src_rff_gaussian_0181,train,src_rff_gaussian,rff,gaussian,181,100182,0.25,1000,10,data/tasks/train_src_rff_gaussian_0181.npz
train_src_tanh_laplace_0182,train,src_tanh_laplace,tanh,laplace,182,100183,0.5,1000,10,data/tasks/train_src_tanh_laplace_0182.npz
train_src_tanh_gaussian_0183,train,src_tanh_gaussian,tanh,gaussian,183,100184,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0183.npz
train_src_softsign_laplace_0184,train,src_softsign_laplace,softsign,laplace,184,100185,1.0,1000,10,data/tasks/train_src_softsign_laplace_0184.npz
train_src_interaction_studentt8_0185,train,src_interaction_studentt8,interaction,student_t8,185,100186,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0185.npz
train_src_rff_laplace_0186,train,src_rff_laplace,rff,laplace,186,100187,0.25,1000,10,data/tasks/train_src_rff_laplace_0186.npz
train_src_rff_gaussian_0187,train,src_rff_gaussian,rff,gaussian,187,100188,0.5,1000,10,data/tasks/train_src_rff_gaussian_0187.npz
